,chunk_name,class_label
0,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk0.wav,Sonus naturalis
1,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk1.wav,Sonus naturalis
2,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk2.wav,Sonus naturalis
3,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk3.wav,Sonus naturalis
4,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk4.wav,Sonus naturalis
5,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk5.wav,Sonus naturalis
6,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk6.wav,Sonus naturalis
7,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk7.wav,Sonus naturalis
8,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk8.wav,Sonus naturalis
9,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk9.wav,Sonus naturalis
10,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk10.wav,Sonus naturalis
11,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk11.wav,Sonus naturalis
12,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk12.wav,Sonus naturalis
13,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk13.wav,Sonus naturalis
14,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk14.wav,Sonus naturalis
15,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk15.wav,Sonus naturalis
16,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk16.wav,Sonus naturalis
17,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk17.wav,Sonus naturalis
18,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk18.wav,Sonus naturalis
19,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk19.wav,Sonus naturalis
20,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk20.wav,Sonus naturalis
21,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk21.wav,Sonus naturalis
22,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk22.wav,Sonus naturalis
23,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk23.wav,Sonus naturalis
24,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk24.wav,Sonus naturalis
25,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk25.wav,Sonus naturalis
26,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk26.wav,Sonus naturalis
27,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk27.wav,Sonus naturalis
28,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk28.wav,Sonus naturalis
29,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk29.wav,Sonus naturalis
30,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk30.wav,Sonus naturalis
31,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk31.wav,Sonus naturalis
32,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk32.wav,Sonus naturalis
33,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk33.wav,Sonus naturalis
34,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk34.wav,Sonus naturalis
35,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk35.wav,Sonus naturalis
36,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk36.wav,Sonus naturalis
37,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk37.wav,Sonus naturalis
38,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk38.wav,Sonus naturalis
